Ambedkar Nagar,178,Uttar Pradesh,Hindi,1905077,Urdu,157679.0,Awadhi,132237.0
Sultanpur,179,Uttar Pradesh,Hindi,2781822,Awadhi,842421.0,Urdu,83543.0
Bahraich,180,Uttar Pradesh,Hindi,3116657,Urdu,244818.0,,
Shrawasti,181,Uttar Pradesh,Hindi,978294,Awadhi,124837.0,,
Balrampur,182,Uttar Pradesh,Hindi,1874212,Awadhi,141320.0,Urdu,49640.0
Gonda,183,Uttar Pradesh,Hindi,2782507,Awadhi,550776.0,,
Siddharthnagar,184,Uttar Pradesh,Hindi,2060575,Bhojpuri,198561.0,Awadhi,89133.0
Basti,185,Uttar Pradesh,Hindi,1977612,Awadhi,349848.0,Bhojpuri,21217.0
Sant Kabir Nagar,186,Uttar Pradesh,Bhojpuri,920577,Hindi,624655.0,,
Mahrajganj,187,Uttar Pradesh,Bhojpuri,1590083,Hindi,1064576.0,,
Gorakhpur,188,Uttar Pradesh,Bhojpuri,2278689,Hindi,2064060.0,,
Kushinagar,189,Uttar Pradesh,Bhojpuri,2768578,Hindi,776590.0,,
Deoria,190,Uttar Pradesh,Bhojpuri,2660710,Hindi,392911.0,,
Azamgarh,191,Uttar Pradesh,Bhojpuri,2564713,Hindi,1573895.0,Urdu,88545.0
Mau,192,Uttar Pradesh,Bhojpuri,1175527,Hindi,730425.0,,
Ballia,193,Uttar Pradesh,Bhojpuri,2655437,Hindi,549938.0,,
Jaunpur,194,Uttar Pradesh,Hindi,4163927,Bhojpuri,136658.0,Awadhi,30674.0
Ghazipur,195,Uttar Pradesh,Bhojpuri,2395139,Hindi,1121377.0,,
Chandauli,196,Uttar Pradesh,Hindi,1582910,Bhojpuri,343718.0,,
Varanasi,197,Uttar Pradesh,Hindi,2801256,Bhojpuri,723696.0,,
Sant Ravidas Nagar (Bhadohi),198,Uttar Pradesh,Hindi,1047672,Awadhi,188067.0,Bhojpuri,202609.0
Mirzapur,199,Uttar Pradesh,Hindi,2021302,Bhojpuri,459477.0,,
Sonbhadra,200,Uttar Pradesh,Hindi,1562925,Bhojpuri,271341.0,,
Etah,201,Uttar Pradesh,Hindi,1757398,Urdu,11614.0,Brajbhasha,1078.0
Kanshiram Nagar,202,Uttar Pradesh,Hindi,1313885,Urdu,118739.0,,
Pashchim Champaran,203,Bihar,Bhojpuri,3614989,Hindi,84078.0,Urdu,62020.0
Purba Champaran,204,Bihar,Bhojpuri,4215755,Hindi,191665.0,Urdu,234052.0
Sheohar,205,Bihar,Others,450821,Hindi,150758.0,,
Sitamarhi,206,Bihar,Hindi,1098051,Others,1597770.0,Urdu,149083.0
Madhubani,207,Bihar,Maithili,3772380,Urdu,573556.0,Hindi,7094.0
Supaul,208,Bihar,Maithili,1699066,Urdu,121470.0,Hindi,203285.0
Araria,209,Bihar,Hindi,676538,Urdu,531747.0,Others,353290.0
Kishanganj,210,Bihar,Surjapuri,720239,Urdu,524344.0,Bengali,30424.0
Purnia,211,Bihar,Hindi,958565,Urdu,507052.0,Others,482312.0
Katihar,212,Bihar,Others,652638,Hindi,468265.0,Bengali,225168.0
Madhepura,213,Bihar,Maithili,760947,Hindi,734917.0,Others,306696.0
Saharsa,214,Bihar,Maithili,1304979,Hindi,372143.0,Urdu,28481.0
Darbhanga,215,Bihar,Maithili,2864246,Urdu,793052.0,Hindi,21821.0
Muzaffarpur,216,Bihar,Others,1873145,Hindi,2264323.0,Bhojpuri,102627.0
Gopalganj,217,Bihar,Bhojpuri,2461733,Hindi,32408.0,Urdu,35316.0
Siwan,218,Bihar,Bhojpuri,3109288,Urdu,139059.0,Hindi,11173.0
Saran,219,Bihar,Bhojpuri,3681550,Hindi,163400.0,Urdu,29277.0
Vaishali,220,Bihar,Others,2442277,Hindi,877160.0,,
Samastipur,221,Bihar,Hindi,2218591,Maithili,1264721.0,Urdu,112566.0
Begusarai,222,Bihar,Hindi,2369547,Urdu,191904.0,Others,148345.0
Khagaria,223,Bihar,Others,1074408,Hindi,488041.0,,
Bhagalpur,224,Bihar,Others,1912045,Hindi,708394.0,Urdu,9547.0
Banka,225,Bihar,Others,1669465,Hindi,112182.0,Santali,56727.0
Munger,226,Bihar,Hindi,844663,Others,417995.0,,
Lakhisarai,227,Bihar,Magadhi/Magahi,470050,Hindi,241308.0,Others,190955.0
Sheikhpura,228,Bihar,Hindi,362047,Magadhi/Magahi,242869.0,,
Nalanda,229,Bihar,Magadhi/Magahi,1619113,Hindi,1072778.0,,
Patna,230,Bihar,Magadhi/Magahi,2705883,Hindi,2491398.0,Bhojpuri,71191.0
Bhojpur,231,Bihar,Bhojpuri,2511647,Hindi,125404.0,Urdu,22660.0
Buxar,232,Bihar,Bhojpuri,1664969,Hindi,23448.0,Urdu,8285.0
Kaimur (Bhabua),233,Bihar,Bhojpuri,1472657,Hindi,106872.0,Urdu,10432.0
Rohtas,234,Bihar,Bhojpuri,2595064,Hindi,197565.0,Urdu,42568.0
Aurangabad,235,Bihar,Magadhi/Magahi,1770059,Hindi,626774.0,,
Gaya,236,Bihar,Magadhi/Magahi,1816894,Hindi,2245341.0,Urdu,10446.0
Nawada,237,Bihar,Magadhi/Magahi,1232267,Hindi,800355.0,Urdu,15751.0
Jamui,238,Bihar,Hindi,1291556,Urdu,100959.0,Others,96062.0
Jehanabad,239,Bihar,Magadhi/Magahi,742724,Hindi,326435.0,,
Arwal,240,Bihar,Magadhi/Magahi,606459,Hindi,50073.0,Urdu,13439.0
North  District,241,Sikkim,Nepali,10147,Lepcha,12671.0,Bhotia,2603.0
West District,242,Sikkim,Nepali,79322,Limbu,24886.0,,
South District,243,Sikkim,Nepali,106701,Hindi,3910.0,Bhotia,3870.0
East District,244,Sikkim,Nepali,186001,Hindi,23585.0,Bhotia,3180.0
Tawang,245,Arunachal Pradesh,Bhotia,29918,Monpa,2598.0,Nepali,1204.0
West Kameng,246,Arunachal Pradesh,Nepali,14333,Bhotia,24906.0,Assamese,683.0
East Kameng,247,Arunachal Pradesh,Nissi/Dafla,64537,Nepali,1724.0,Others,1217.0
Papum Pare,248,Arunachal Pradesh,Nissi/Dafla,85056,Nepali,343.0,Bengali,15752.0
Upper Subansiri,249,Arunachal Pradesh,Tagin,57640,Nissi/Dafla,7630.0,Talgalo,8556.0
West Siang,250,Arunachal Pradesh,Talgalo,45250,Adi_Gallong/Gallong,11730.0,Others,10725.0
East Siang,251,Arunachal Pradesh,Adi,51322,Nepali,8807.0,Adi_Gallong/Gallong,4901.0
Upper Siang,252,Arunachal Pradesh,Adi,21327,Nepali,1174.0,Bhotia,2306.0
Changlang,253,Arunachal Pradesh,Others,24257,Nepali,4785.0,Chakma,40205.0
Tirap,254,Arunachal Pradesh,Wancho,56444,Nocte,26260.0,Bengali,1320.0
Lower Subansiri,255,Arunachal Pradesh,Nissi/Dafla,37981,Assamese,667.0,Nepali,550.0
Kurung Kumey,256,Arunachal Pradesh,Nissi/Dafla,87790,Others,1913.0,Nepali,68.0
Dibang Valley,257,Arunachal Pradesh,Others,5467,Nepali,1125.0,Mishmi,34.0
Lower Dibang Valley,258,Arunachal Pradesh,Nepali,12490,Adi,10326.0,Others,2970.0
Lohit,259,Arunachal Pradesh,Nepali,17853,Assamese,16600.0,Adi,6676.0
Anjaw,260,Arunachal Pradesh,Mishmi,8630,Others,6432.0,Others,470.0
Mon,261,Nagaland,Konyak,236640,Bengali,2398.0,Hindi,105.0
Mokokchung,262,Nagaland,Chungli,67535,Mongsen,45991.0,Ao,34791.0
Zunheboto,263,Nagaland,Sema,613,Bengali,456.0,Ao,311.0
Wokha,264,Nagaland,Lotha,150506,Nepali,158.0,Bengali,1040.0
Dimapur,265,Nagaland,Bengali,56234,Nepali,2072.0,Ao,40304.0
Phek,266,Nagaland,Chakru/Chokri,87761,Khezha,32546.0,Pochury,19948.0
Tuensang,267,Nagaland,Chang,59846,Yimchungre,35768.0,Khiemnungan,53701.0
Longleng,268,Nagaland,Phom,47294,Assamese,107.0,Konyak,870.0
Kiphire,269,Nagaland,Sangtam,33849,Yimchungre,11856.0,Tikhir,8043.0
Kohima,270,Nagaland,Others,96478,Angami,17034.0,Rengma,55399.0
Peren,271,Nagaland,Zeliang,54467,Kuki,9513.0,Zemi,8001.0
Senapati,272,Manipur,Thado,81883,Nepali,29357.0,Paola,120507.0
Tamenglong,273,Manipur,Rongmei,51562,Kabui,28276.0,Liangmei,24643.0
Churachandpur,274,Manipur,Paite,51879,Thado,67282.0,Vaiphei,8058.0
Bishnupur,275,Manipur,Manipuri,232351,Kabui,1538.0,Bengali,536.0
Thoubal,276,Manipur,Manipuri,415654,Nepali,1584.0,Kabui,438.0
Imphal West,277,Manipur,Manipuri,470852,Kabui,8577.0,Nepali,9208.0
Imphal East,278,Manipur,Manipuri,388582,Bengali,22267.0,Kabui,5068.0
Ukhrul,279,Manipur,Tangkhul,163582,Thado,6038.0,Khezha,1944.0
Chandel,280,Manipur,Thado,50341,Anal,23070.0,Maring,20126.0
Mamit,281,Mizoram,Lushai/Mizo,54073,Kokbarak,7261.0,Chakma,7260.0
Kolasib,282,Mizoram,Lushai/Mizo,63750,Hmar,6083.0,Reang,552.0
Aizawl,283,Mizoram,Lushai/Mizo,361507,Hmar,10130.0,Nepali,5913.0
Champhai,284,Mizoram,Lushai/Mizo,106559,Paite,17475.0,Bengali,8.0
Serchhip,285,Mizoram,Lushai/Mizo,63473,Hindi,538.0,Khortha/Khotta,15.0
Lunglei,286,Mizoram,Lushai/Mizo,115894,Chakma,32699.0,Hindi,1753.0
Lawngtlai,287,Mizoram,Lushai/Mizo,23096,Chakma,43575.0,Pawi,24671.0
Saiha,288,Mizoram,Mara,37490,Lushai/Mizo,8594.0,Others,1051.0
West Tripura,289,Tripura,Kokbarak,403163,Bengali,1216815.0,Munda,2307.0
South Tripura,290,Tripura,Kokbarak,242579,Bengali,506235.0,Mogh,11470.0
Dhalai,291,Tripura,Kokbarak,144478,Bengali,119961.0,Chakma,23887.0
North Tripura,292,Tripura,Bengali,461554,Kokbarak,79585.0,Reang,10016.0
West Garo Hills,293,Meghalaya,Garo,412971,Bengali,121267.0,Haijong/Hajong,9944.0
East Garo Hills,294,Meghalaya,Garo,297922,Assamese,7471.0,Bengali,1907.0
South Garo Hills,295,Meghalaya,Garo,130608,Others,4208.0,Bengali,853.0
West Khasi Hills,296,Meghalaya,Khasi,196246,Garo,48396.0,Reang,2004.0
Ribhoi,297,Meghalaya,Khasi,174550,Others,14030.0,Assamese,4714.0
East Khasi Hills,298,Meghalaya,Khasi,599472,Garo,9615.0,Bengali,43809.0
Jaintia Hills,299,Meghalaya,Pnar/Synteng,311396,Khasi,22659.0,War,33299.0
Kokrajhar,300,Assam,Bodo/Boro,237570,Assamese,105321.0,Bengali,75791.0
Dhubri,301,Assam,Assamese,825607,Others,426388.0,Bengali,344827.0
Goalpara,302,Assam,Assamese,515927,Bengali,276124.0,Garo,18066.0
Barpeta,303,Assam,Assamese,612247,Bengali,1043627.0,Bodo/Boro,6192.0
Morigaon,304,Assam,Assamese,699107,Bengali,212488.0,,
Nagaon,305,Assam,Assamese,1774418,Bengali,805361.0,,
Sonitpur,306,Assam,Assamese,693889,Bengali,186227.0,Sadan/Sadri,151659.0
Lakhimpur,307,Assam,Assamese,602339,Miri/Mishing,159406.0,Bengali,106899.0
Dhemaji,308,Assam,Assamese,268820,Miri/Mishing,223204.0,,
Tinsukia,309,Assam,Assamese,634697,Sadan/Sadri,137686.0,Nepali,76717.0
Dibrugarh,310,Assam,Assamese,1008158,Sadan/Sadri,54337.0,Hindi,49459.0
Sivasagar,311,Assam,Assamese,969831,Sadan/Sadri,38139.0,Miri/Mishing,18136.0
Jorhat,312,Assam,Assamese,910784,Miri/Mishing,82388.0,Bengali,30323.0
Golaghat,313,Assam,Assamese,836416,Miri/Mishing,24443.0,Bengali,31163.0
Karbi Anglong,314,Assam,Karbi/Mikir,437203,Bengali,83423.0,Bhojpuri,30623.0
Dima Hasao,315,Assam,Dimasa,73252,Bengali,19307.0,Zemi,12711.0
Cachar,316,Assam,Bengali,1304566,Hindi,113362.0,Manipuri,63092.0
Karimganj,317,Assam,Bengali,1067063,Hindi,68390.0,Assamese,2322.0
Hailakandi,318,Assam,Bengali,558045,Hindi,51041.0,,
Bongaigaon,319,Assam,Assamese,358381,Bengali,320274.0,,
Chirang,320,Assam,Bodo/Boro,180675,Assamese,35937.0,Bengali,117582.0
Kamrup,321,Assam,Assamese,1129161,Bengali,292953.0,Bodo/Boro,3583.0
Kamrup Metropolitan,322,Assam,Assamese,725410,Bengali,254974.0,Hindi,4016.0
